event_time,meter_id,global_active_power
2009-07-10 05:12:00,M014,5.586
2009-07-10 05:13:00,M015,6.797
2009-07-10 05:14:00,M016,7.042
2009-07-10 05:15:00,M001,2.054
2009-07-10 05:16:00,M002,2.052
2009-07-10 05:17:00,M003,1.648
2009-07-10 05:18:00,M004,1.368
2009-07-10 05:19:00,M005,1.366
2009-07-10 05:20:00,M006,1.362
2009-07-10 05:21:00,M007,1.36
2009-07-10 05:22:00,M008,1.36
2009-07-10 05:23:00,M009,4.76
2009-07-10 05:24:00,M010,4.739
2009-07-10 05:25:00,M011,4.725
2009-07-10 05:26:00,M012,4.571
2009-07-10 05:27:00,M013,4.487
2009-07-10 05:28:00,M014,4.494
2009-07-10 05:29:00,M015,4.494
2009-07-10 05:30:00,M016,4.501
2009-07-10 05:31:00,M001,1.288
2009-07-10 05:32:00,M002,1.29
2009-07-10 05:33:00,M003,1.284
2009-07-10 05:34:00,M004,1.282
2009-07-10 05:35:00,M005,1.28
2009-07-10 05:36:00,M006,1.28
2009-07-10 05:37:00,M007,1.284
2009-07-10 05:38:00,M008,1.286
2009-07-10 05:39:00,M009,4.907
2009-07-10 05:40:00,M010,4.879
2009-07-10 05:41:00,M011,4.865
2009-07-10 05:42:00,M012,4.858
2009-07-10 05:43:00,M013,4.858
2009-07-10 05:44:00,M014,4.865
2009-07-10 05:45:00,M015,4.865
2009-07-10 05:46:00,M016,4.851
2009-07-10 05:47:00,M001,1.386
2009-07-10 05:48:00,M002,1.394
2009-07-10 05:49:00,M003,0.91
2009-07-10 05:50:00,M004,0.316
2009-07-10 05:51:00,M005,0.314
2009-07-10 05:52:00,M006,0.312
2009-07-10 05:53:00,M007,0.312
2009-07-10 05:54:00,M008,0.312
2009-07-10 05:55:00,M009,1.085
2009-07-10 05:56:00,M010,0.735
2009-07-10 05:57:00,M011,0.511
2009-07-10 05:58:00,M012,0.504
2009-07-10 05:59:00,M013,0.504
2009-07-10 06:00:00,M014,0.763
2009-07-10 06:01:00,M015,0.777
2009-07-10 06:02:00,M016,0.777
2009-07-10 06:03:00,M001,0.222
2009-07-10 06:04:00,M002,0.22
2009-07-10 06:05:00,M003,0.22
2009-07-10 06:06:00,M004,0.216
2009-07-10 06:07:00,M005,0.216
2009-07-10 06:08:00,M006,0.214
2009-07-10 06:09:00,M007,0.214
2009-07-10 06:10:00,M008,0.214
2009-07-10 06:11:00,M009,0.749
2009-07-10 06:12:00,M010,0.511
2009-07-10 06:13:00,M011,0.504
2009-07-10 06:14:00,M012,0.504
2009-07-10 06:15:00,M013,0.504
2009-07-10 06:16:00,M014,0.504
2009-07-10 06:17:00,M015,0.504
2009-07-10 06:18:00,M016,0.504
2009-07-10 06:19:00,M001,0.142
2009-07-10 06:20:00,M002,0.142
2009-07-10 06:21:00,M003,0.142
2009-07-10 06:22:00,M004,0.144
2009-07-10 06:23:00,M005,0.222
2009-07-10 06:24:00,M006,0.254
2009-07-10 06:25:00,M007,0.25
2009-07-10 06:26:00,M008,0.25
2009-07-10 06:27:00,M009,0.868
2009-07-10 06:28:00,M010,0.861
2009-07-10 06:29:00,M011,0.861
2009-07-10 06:30:00,M012,0.854
2009-07-10 06:31:00,M013,0.854
2009-07-10 06:32:00,M014,0.847
2009-07-10 06:33:00,M015,0.847
2009-07-10 06:34:00,M016,0.847
2009-07-10 06:35:00,M001,0.242
2009-07-10 06:36:00,M002,0.24
2009-07-10 06:37:00,M003,0.24
2009-07-10 06:38:00,M004,0.24
2009-07-10 06:39:00,M005,0.24
2009-07-10 06:40:00,M006,0.218
2009-07-10 06:41:00,M007,0.146
2009-07-10 06:42:00,M008,0.188
2009-07-10 06:43:00,M009,2.478
2009-07-10 06:44:00,M010,3.486
2009-07-10 06:45:00,M011,6.076
2009-07-10 06:46:00,M012,7.84
2009-07-10 06:47:00,M013,9.639
2009-07-10 06:48:00,M014,7.252
2009-07-10 06:49:00,M015,5.67
2009-07-10 06:50:00,M016,7.287
2009-07-10 06:51:00,M001,2.2
2009-07-10 06:52:00,M002,2.018
2009-07-10 06:53:00,M003,1.65
2009-07-10 06:54:00,M004,2.126
2009-07-10 06:55:00,M005,2.314
2009-07-10 06:56:00,M006,1.712
2009-07-10 06:57:00,M007,1.572
2009-07-10 06:58:00,M008,1.628
2009-07-10 06:59:00,M009,5.733
2009-07-10 07:00:00,M010,5.705
2009-07-10 07:01:00,M011,5.425
2009-07-10 07:02:00,M012,5.264
2009-07-10 07:03:00,M013,5.292
2009-07-10 07:04:00,M014,5.271
2009-07-10 07:05:00,M015,5.159
2009-07-10 07:06:00,M016,5.026
2009-07-10 07:07:00,M001,1.386
2009-07-10 07:08:00,M002,1.54
2009-07-10 07:09:00,M003,2.31
2009-07-10 07:10:00,M004,3.664
2009-07-10 07:11:00,M005,3.644
2009-07-10 07:12:00,M006,3.642
2009-07-10 07:13:00,M007,3.61
2009-07-10 07:14:00,M008,3.682
2009-07-10 07:15:00,M009,12.95
2009-07-10 07:16:00,M010,12.859
2009-07-10 07:17:00,M011,13.293
2009-07-10 07:18:00,M012,12.936
2009-07-10 07:19:00,M013,13.16
2009-07-10 07:20:00,M014,10.892
2009-07-10 07:21:00,M015,4.949
2009-07-10 07:22:00,M016,2.058
2009-07-10 07:23:00,M001,0.572
2009-07-10 07:24:00,M002,0.638
2009-07-10 07:25:00,M003,0.596
2009-07-10 07:26:00,M004,0.488
2009-07-10 07:27:00,M005,0.494
2009-07-10 07:28:00,M006,0.49
2009-07-10 07:29:00,M007,1.202
2009-07-10 07:30:00,M008,1.576
2009-07-10 07:31:00,M009,5.495
2009-07-10 07:32:00,M010,5.509
2009-07-10 07:33:00,M011,5.509
2009-07-10 07:34:00,M012,5.341
2009-07-10 07:35:00,M013,5.082
2009-07-10 07:36:00,M014,5.649
2009-07-10 07:37:00,M015,6.132
2009-07-10 07:38:00,M016,5.838
2009-07-10 07:39:00,M001,1.768
2009-07-10 07:40:00,M002,1.694
2009-07-10 07:41:00,M003,1.768
2009-07-10 07:42:00,M004,2.976
2009-07-10 07:43:00,M005,1.634
2009-07-10 07:44:00,M006,1.614
2009-07-10 07:45:00,M007,1.604
2009-07-10 07:46:00,M008,1.598
2009-07-10 07:47:00,M009,5.6
2009-07-10 07:48:00,M010,6.587
2009-07-10 07:49:00,M011,7.84
2009-07-10 07:50:00,M012,8.316
2009-07-10 07:51:00,M013,8.673
2009-07-10 07:52:00,M014,8.925
2009-07-10 07:53:00,M015,8.274
2009-07-10 07:54:00,M016,6.818
2009-07-10 07:55:00,M001,1.568
2009-07-10 07:56:00,M002,1.532
2009-07-10 07:57:00,M003,1.524
2009-07-10 07:58:00,M004,1.574
2009-07-10 07:59:00,M005,1.518
2009-07-10 08:00:00,M006,1.524
2009-07-10 08:01:00,M007,1.538
2009-07-10 08:02:00,M008,1.572
2009-07-10 08:03:00,M009,5.481
2009-07-10 08:04:00,M010,5.439
2009-07-10 08:05:00,M011,5.467
2009-07-10 08:06:00,M012,5.481
2009-07-10 08:07:00,M013,5.446
2009-07-10 08:08:00,M014,5.25
2009-07-10 08:09:00,M015,5.222
2009-07-10 08:10:00,M016,5.019
2009-07-10 08:11:00,M001,1.412
2009-07-10 08:12:00,M002,1.412
2009-07-10 08:13:00,M003,1.388
2009-07-10 08:14:00,M004,1.376
2009-07-10 08:15:00,M005,1.368
2009-07-10 08:16:00,M006,1.362
2009-07-10 08:17:00,M007,1.374
2009-07-10 08:18:00,M008,1.386
2009-07-10 08:19:00,M009,4.956
2009-07-10 08:20:00,M010,4.97
2009-07-10 08:21:00,M011,4.963
2009-07-10 08:22:00,M012,4.956
2009-07-10 08:23:00,M013,4.9
2009-07-10 08:24:00,M014,4.781
2009-07-10 08:25:00,M015,5.229
2009-07-10 08:26:00,M016,4.949
2009-07-10 08:27:00,M001,1.374
2009-07-10 08:28:00,M002,1.364
2009-07-10 08:29:00,M003,1.35
2009-07-10 08:30:00,M004,3.386
2009-07-10 08:31:00,M005,3.584
2009-07-10 08:32:00,M006,3.558
2009-07-10 08:33:00,M007,3.546
2009-07-10 08:34:00,M008,3.524
2009-07-10 08:35:00,M009,12.369
2009-07-10 08:36:00,M010,12.383
2009-07-10 08:37:00,M011,12.782
2009-07-10 08:38:00,M012,12.81
2009-07-10 08:39:00,M013,12.74
2009-07-10 08:40:00,M014,12.754
2009-07-10 08:41:00,M015,12.677
2009-07-10 08:42:00,M016,8.575
2009-07-10 08:43:00,M001,1.43
2009-07-10 08:44:00,M002,1.43
2009-07-10 08:45:00,M003,1.432
2009-07-10 08:46:00,M004,1.444
2009-07-10 08:47:00,M005,1.422
2009-07-10 08:48:00,M006,1.414
2009-07-10 08:49:00,M007,1.41
2009-07-10 08:50:00,M008,1.926
2009-07-10 08:51:00,M009,7.217
2009-07-10 08:52:00,M010,7.315
2009-07-10 08:53:00,M011,7.35
2009-07-10 08:54:00,M012,7.287
2009-07-10 08:55:00,M013,5.439
2009-07-10 08:56:00,M014,4.368
2009-07-10 08:57:00,M015,4.375
2009-07-10 08:58:00,M016,4.361
2009-07-10 08:59:00,M001,1.244
2009-07-10 09:00:00,M002,1.25
2009-07-10 09:01:00,M003,1.256
2009-07-10 09:02:00,M004,1.244
2009-07-10 09:03:00,M005,1.25
2009-07-10 09:04:00,M006,1.244
2009-07-10 09:05:00,M007,1.248
2009-07-10 09:06:00,M008,1.242
2009-07-10 09:07:00,M009,4.368
2009-07-10 09:08:00,M010,4.34
2009-07-10 09:09:00,M011,4.34
2009-07-10 09:10:00,M012,4.375
2009-07-10 09:11:00,M013,4.368
2009-07-10 09:12:00,M014,4.34
2009-07-10 09:13:00,M015,4.34
2009-07-10 09:14:00,M016,4.326
2009-07-10 09:15:00,M001,1.238
2009-07-10 09:16:00,M002,1.252
2009-07-10 09:17:00,M003,1.276
2009-07-10 09:18:00,M004,1.242
2009-07-10 09:19:00,M005,1.25
2009-07-10 09:20:00,M006,1.248
2009-07-10 09:21:00,M007,1.306
2009-07-10 09:22:00,M008,1.358
2009-07-10 09:23:00,M009,4.739
2009-07-10 09:24:00,M010,4.739
2009-07-10 09:25:00,M011,4.711
2009-07-10 09:26:00,M012,4.683
2009-07-10 09:27:00,M013,4.858
2009-07-10 09:28:00,M014,4.949
2009-07-10 09:29:00,M015,4.97
2009-07-10 09:30:00,M016,4.935
2009-07-10 09:31:00,M001,1.41
2009-07-10 09:32:00,M002,1.412
2009-07-10 09:33:00,M003,1.414
2009-07-10 09:34:00,M004,1.414
2009-07-10 09:35:00,M005,1.416
2009-07-10 09:36:00,M006,1.42
2009-07-10 09:37:00,M007,1.412
2009-07-10 09:38:00,M008,1.418
2009-07-10 09:39:00,M009,4.76
2009-07-10 09:40:00,M010,4.536
2009-07-10 09:41:00,M011,4.417
2009-07-10 09:42:00,M012,4.382
2009-07-10 09:43:00,M013,4.389
2009-07-10 09:44:00,M014,4.389
2009-07-10 09:45:00,M015,4.417
2009-07-10 09:46:00,M016,4.375
2009-07-10 09:47:00,M001,1.242
2009-07-10 09:48:00,M002,1.248
2009-07-10 09:49:00,M003,1.248
2009-07-10 09:50:00,M004,1.244
2009-07-10 09:51:00,M005,1.248
2009-07-10 09:52:00,M006,1.254
2009-07-10 09:53:00,M007,1.256
2009-07-10 09:54:00,M008,1.254
2009-07-10 09:55:00,M009,4.396
2009-07-10 09:56:00,M010,4.389
2009-07-10 09:57:00,M011,4.382
2009-07-10 09:58:00,M012,4.361
2009-07-10 09:59:00,M013,4.361
2009-07-10 10:00:00,M014,4.375
2009-07-10 10:01:00,M015,4.354
2009-07-10 10:02:00,M016,4.368
2009-07-10 10:03:00,M001,1.238
2009-07-10 10:04:00,M002,1.236
2009-07-10 10:05:00,M003,1.236
2009-07-10 10:06:00,M004,1.356
2009-07-10 10:07:00,M005,1.342
2009-07-10 10:08:00,M006,1.34
2009-07-10 10:09:00,M007,1.334
2009-07-10 10:10:00,M008,1.334
2009-07-10 10:11:00,M009,4.655
2009-07-10 10:12:00,M010,5.033
2009-07-10 10:13:00,M011,7.049
2009-07-10 10:14:00,M012,7.434
2009-07-10 10:15:00,M013,4.375
2009-07-10 10:16:00,M014,3.829
2009-07-10 10:17:00,M015,2.429
2009-07-10 10:18:00,M016,1.407
2009-07-10 10:19:00,M001,0.402
2009-07-10 10:20:00,M002,0.4
2009-07-10 10:21:00,M003,0.4
2009-07-10 10:22:00,M004,0.4
2009-07-10 10:23:00,M005,0.344
2009-07-10 10:24:00,M006,0.294
2009-07-10 10:25:00,M007,0.234
2009-07-10 10:26:00,M008,0.234
2009-07-10 10:27:00,M009,0.812
2009-07-10 10:28:00,M010,0.805
2009-07-10 10:29:00,M011,0.805
2009-07-10 10:30:00,M012,0.798
2009-07-10 10:31:00,M013,0.798
2009-07-10 10:32:00,M014,0.798
2009-07-10 10:33:00,M015,0.791
2009-07-10 10:34:00,M016,0.791
2009-07-10 10:35:00,M001,0.224
2009-07-10 10:36:00,M002,0.224
2009-07-10 10:37:00,M003,0.222
2009-07-10 10:38:00,M004,0.222
2009-07-10 10:39:00,M005,0.222
2009-07-10 10:40:00,M006,0.222
2009-07-10 10:41:00,M007,0.222
2009-07-10 10:42:00,M008,0.222
2009-07-10 10:43:00,M009,0.777
2009-07-10 10:44:00,M010,0.77
2009-07-10 10:45:00,M011,0.777
2009-07-10 10:46:00,M012,0.777
2009-07-10 10:47:00,M013,0.777
2009-07-10 10:48:00,M014,0.777
2009-07-10 10:49:00,M015,0.77
2009-07-10 10:50:00,M016,1.113
2009-07-10 10:51:00,M001,0.326
2009-07-10 10:52:00,M002,0.324
2009-07-10 10:53:00,M003,0.322
2009-07-10 10:54:00,M004,0.32
2009-07-10 10:55:00,M005,0.318
2009-07-10 10:56:00,M006,0.32
2009-07-10 10:57:00,M007,0.41
2009-07-10 10:58:00,M008,0.39
2009-07-10 10:59:00,M009,1.365
2009-07-10 11:00:00,M010,1.358
2009-07-10 11:01:00,M011,1.351
2009-07-10 11:02:00,M012,1.26
2009-07-10 11:03:00,M013,1.085
2009-07-10 11:04:00,M014,1.085
2009-07-10 11:05:00,M015,1.078
2009-07-10 11:06:00,M016,1.078
2009-07-10 11:07:00,M001,0.266
2009-07-10 11:08:00,M002,0.212
2009-07-10 11:09:00,M003,0.178
2009-07-10 11:10:00,M004,0.142
2009-07-10 11:11:00,M005,0.144
2009-07-10 11:12:00,M006,0.144
2009-07-10 11:13:00,M007,0.144
2009-07-10 11:14:00,M008,0.142
2009-07-10 11:15:00,M009,0.497
2009-07-10 11:16:00,M010,0.504
2009-07-10 11:17:00,M011,0.504
2009-07-10 11:18:00,M012,0.497
2009-07-10 11:19:00,M013,0.504
2009-07-10 11:20:00,M014,0.504
2009-07-10 11:21:00,M015,0.504
2009-07-10 11:22:00,M016,0.504
2009-07-10 11:23:00,M001,0.144
2009-07-10 11:24:00,M002,0.144
2009-07-10 11:25:00,M003,0.144
2009-07-10 11:26:00,M004,0.144
2009-07-10 11:27:00,M005,0.144
2009-07-10 11:28:00,M006,0.144
2009-07-10 11:29:00,M007,0.146
2009-07-10 11:30:00,M008,0.144
2009-07-10 11:31:00,M009,0.504
2009-07-10 11:32:00,M010,0.504
2009-07-10 11:33:00,M011,0.504
2009-07-10 11:34:00,M012,0.777
2009-07-10 11:35:00,M013,0.896
2009-07-10 11:36:00,M014,0.882
2009-07-10 11:37:00,M015,0.875
2009-07-10 11:38:00,M016,0.875
2009-07-10 11:39:00,M001,0.248
2009-07-10 11:40:00,M002,0.648
2009-07-10 11:41:00,M003,0.878
2009-07-10 11:42:00,M004,0.996
2009-07-10 11:43:00,M005,1.002
2009-07-10 11:44:00,M006,0.97
2009-07-10 11:45:00,M007,0.318
2009-07-10 11:46:00,M008,0.316
2009-07-10 11:47:00,M009,1.099
2009-07-10 11:48:00,M010,1.099
2009-07-10 11:49:00,M011,1.092
2009-07-10 11:50:00,M012,1.085
2009-07-10 11:51:00,M013,1.043
2009-07-10 11:52:00,M014,0.756
2009-07-10 11:53:00,M015,0.749
2009-07-10 11:54:00,M016,0.595
2009-07-10 11:55:00,M001,0.146
2009-07-10 11:56:00,M002,0.144
2009-07-10 11:57:00,M003,0.146
2009-07-10 11:58:00,M004,0.146
2009-07-10 11:59:00,M005,0.146
2009-07-10 12:00:00,M006,0.146
2009-07-10 12:01:00,M007,0.146
2009-07-10 12:02:00,M008,0.146
2009-07-10 12:03:00,M009,0.511
2009-07-10 12:04:00,M010,0.511
2009-07-10 12:05:00,M011,0.511
2009-07-10 12:06:00,M012,0.511
2009-07-10 12:07:00,M013,0.511
2009-07-10 12:08:00,M014,0.511
2009-07-10 12:09:00,M015,0.511
2009-07-10 12:10:00,M016,0.511
2009-07-10 12:11:00,M001,0.146
2009-07-10 12:12:00,M002,0.146
2009-07-10 12:13:00,M003,0.146
2009-07-10 12:14:00,M004,0.144
2009-07-10 12:15:00,M005,0.144
2009-07-10 12:16:00,M006,0.142
2009-07-10 12:17:00,M007,0.142
2009-07-10 12:18:00,M008,0.204
2009-07-10 12:19:00,M009,0.882
2009-07-10 12:20:00,M010,0.882
2009-07-10 12:21:00,M011,0.882
2009-07-10 12:22:00,M012,0.875
2009-07-10 12:23:00,M013,0.868
2009-07-10 12:24:00,M014,0.861
2009-07-10 12:25:00,M015,0.861
2009-07-10 12:26:00,M016,0.861
2009-07-10 12:27:00,M001,0.328
2009-07-10 12:28:00,M002,0.318
2009-07-10 12:29:00,M003,0.316
2009-07-10 12:30:00,M004,0.316
2009-07-10 12:31:00,M005,0.314
2009-07-10 12:32:00,M006,0.314
2009-07-10 12:33:00,M007,0.312
2009-07-10 12:34:00,M008,0.312
2009-07-10 12:35:00,M009,1.085
2009-07-10 12:36:00,M010,0.763
2009-07-10 12:37:00,M011,0.756
2009-07-10 12:38:00,M012,0.756
2009-07-10 12:39:00,M013,0.602
2009-07-10 12:40:00,M014,0.511
2009-07-10 12:41:00,M015,0.511
2009-07-10 12:42:00,M016,0.511
2009-07-10 12:43:00,M001,0.146
2009-07-10 12:44:00,M002,0.178
2009-07-10 12:45:00,M003,0.18
2009-07-10 12:46:00,M004,0.188
2009-07-10 12:47:00,M005,0.308
2009-07-10 12:48:00,M006,0.27
2009-07-10 12:49:00,M007,0.27
2009-07-10 12:50:00,M008,0.276
2009-07-10 12:51:00,M009,2.338
2009-07-10 12:52:00,M010,6.482
2009-07-10 12:53:00,M011,6.517
2009-07-10 12:54:00,M012,1.988
2009-07-10 12:55:00,M013,1.316
2009-07-10 12:56:00,M014,1.295
2009-07-10 12:57:00,M015,1.295
2009-07-10 12:58:00,M016,1.295
2009-07-10 12:59:00,M001,0.37
2009-07-10 13:00:00,M002,0.364
2009-07-10 13:01:00,M003,0.364
2009-07-10 13:02:00,M004,0.362
2009-07-10 13:03:00,M005,0.358
2009-07-10 13:04:00,M006,0.354
2009-07-10 13:05:00,M007,0.354
2009-07-10 13:06:00,M008,0.354
2009-07-10 13:07:00,M009,1.225
2009-07-10 13:08:00,M010,1.463
2009-07-10 13:09:00,M011,1.477
2009-07-10 13:10:00,M012,1.491
2009-07-10 13:11:00,M013,2.835
2009-07-10 13:12:00,M014,3.668
2009-07-10 13:13:00,M015,3.808
2009-07-10 13:14:00,M016,3.822
2009-07-10 13:15:00,M001,1.02
2009-07-10 13:16:00,M002,0.446
2009-07-10 13:17:00,M003,0.326
2009-07-10 13:18:00,M004,0.324
2009-07-10 13:19:00,M005,0.326
2009-07-10 13:20:00,M006,0.324
2009-07-10 13:21:00,M007,0.284
2009-07-10 13:22:00,M008,0.256
2009-07-10 13:23:00,M009,0.896
2009-07-10 13:24:00,M010,0.896
2009-07-10 13:25:00,M011,0.896
2009-07-10 13:26:00,M012,0.896
2009-07-10 13:27:00,M013,0.896
2009-07-10 13:28:00,M014,0.889
2009-07-10 13:29:00,M015,0.896
2009-07-10 13:30:00,M016,0.889
2009-07-10 13:31:00,M001,0.256
2009-07-10 13:32:00,M002,0.256
2009-07-10 13:33:00,M003,0.256
2009-07-10 13:34:00,M004,0.254
2009-07-10 13:35:00,M005,0.252
2009-07-10 13:36:00,M006,0.182
2009-07-10 13:37:00,M007,0.182
2009-07-10 13:38:00,M008,0.182
2009-07-10 13:39:00,M009,0.637
2009-07-10 13:40:00,M010,0.938
2009-07-10 13:41:00,M011,1.029
2009-07-10 13:42:00,M012,1.015
2009-07-10 13:43:00,M013,1.001
2009-07-10 13:44:00,M014,1.001
2009-07-10 13:45:00,M015,0.994
2009-07-10 13:46:00,M016,0.994
2009-07-10 13:47:00,M001,0.282
2009-07-10 13:48:00,M002,0.282
2009-07-10 13:49:00,M003,0.28
2009-07-10 13:50:00,M004,0.278
2009-07-10 13:51:00,M005,0.278
2009-07-10 13:52:00,M006,0.278
2009-07-10 13:53:00,M007,0.276
2009-07-10 13:54:00,M008,0.366
2009-07-10 13:55:00,M009,1.232
2009-07-10 13:56:00,M010,1.225
2009-07-10 13:57:00,M011,1.218
2009-07-10 13:58:00,M012,1.071
2009-07-10 13:59:00,M013,0.875
2009-07-10 14:00:00,M014,0.875
2009-07-10 14:01:00,M015,0.868
2009-07-10 14:02:00,M016,0.868
2009-07-10 14:03:00,M001,0.248
2009-07-10 14:04:00,M002,0.248
2009-07-10 14:05:00,M003,0.248
2009-07-10 14:06:00,M004,0.218
2009-07-10 14:07:00,M005,0.176
2009-07-10 14:08:00,M006,0.176
2009-07-10 14:09:00,M007,0.18
2009-07-10 14:10:00,M008,0.176
2009-07-10 14:11:00,M009,0.616
2009-07-10 14:12:00,M010,0.623
2009-07-10 14:13:00,M011,0.63
2009-07-10 14:14:00,M012,0.63
2009-07-10 14:15:00,M013,0.637
2009-07-10 14:16:00,M014,0.637
2009-07-10 14:17:00,M015,0.637
2009-07-10 14:18:00,M016,0.637
2009-07-10 14:19:00,M001,0.182
2009-07-10 14:20:00,M002,0.184
2009-07-10 14:21:00,M003,0.184
2009-07-10 14:22:00,M004,0.184
2009-07-10 14:23:00,M005,0.184
2009-07-10 14:24:00,M006,0.21
2009-07-10 14:25:00,M007,0.292
2009-07-10 14:26:00,M008,0.29
2009-07-10 14:27:00,M009,1.008
2009-07-10 14:28:00,M010,1.001
2009-07-10 14:29:00,M011,1.001
2009-07-10 14:30:00,M012,2.268
2009-07-10 14:31:00,M013,4.767
2009-07-10 14:32:00,M014,4.662
2009-07-10 14:33:00,M015,4.627
2009-07-10 14:34:00,M016,4.592
2009-07-10 14:35:00,M001,1.324
2009-07-10 14:36:00,M002,1.316
2009-07-10 14:37:00,M003,1.304
2009-07-10 14:38:00,M004,1.306
2009-07-10 14:39:00,M005,1.354
2009-07-10 14:40:00,M006,1.386
2009-07-10 14:41:00,M007,0.524
2009-07-10 14:42:00,M008,0.386
2009-07-10 14:43:00,M009,0.903
2009-07-10 14:44:00,M010,0.903
